order_id,customer_id,product_name,category,quantity,unit_price,total_amount,discount_rate,final_amount,order_date,region,sales_rep,is_priority,status
ORD-000039,CUST-0094,Monitor 4K,Accessories,2,697.17,1394.34,0.194,1123.84,2024-08-12,North America,David Wilson,1,shipped
ORD-000040,CUST-0189,Monitor 4K,Accessories,10,1269.74,12697.4,0.057,11973.65,2024-11-19,Asia Pacific,Grace Chen,0,cancelled
ORD-000041,CUST-0366,Webcam HD,Electronics,7,197.77,1384.39,0.141,1189.19,2024-03-16,Middle East,David Wilson,0,processing
ORD-000042,CUST-0215,Webcam HD,Electronics,8,1267.15,10137.2,0.175,8363.19,2024-06-01,Middle East,David Wilson,1,shipped
ORD-000043,CUST-0095,Tablet Ultra,Audio,5,1002.04,5010.2,0.11,4459.08,2024-08-17,Asia Pacific,Alice Johnson,1,pending
ORD-000044,CUST-0232,Router WiFi,Gaming,2,818.15,1636.3,0.171,1356.49,2024-05-09,North America,Carol Davis,1,processing
ORD-000045,CUST-0414,"Laptop Pro 15""",Gaming,8,355.78,2846.24,0.124,2493.31,2024-10-13,North America,Carol Davis,1,cancelled
ORD-000046,CUST-0113,Gaming Mouse,Computers,10,154.1,1541.0,0.194,1242.05,2024-12-25,Asia Pacific,Carol Davis,0,delivered
ORD-000047,CUST-0391,Router WiFi,Computers,4,312.84,1251.36,0.175,1032.37,2024-08-12,Middle East,Alice Johnson,1,processing
ORD-000048,CUST-0237,Smart Watch,Electronics,4,1183.1,4732.4,0.14,4069.86,2024-03-08,Asia Pacific,David Wilson,0,delivered
ORD-000049,CUST-0038,Router WiFi,Accessories,7,1339.63,9377.41,0.091,8524.07,2024-04-15,Asia Pacific,Carol Davis,1,processing
ORD-000050,CUST-0263,Speaker Bluetooth,Audio,7,538.83,3771.81,0.118,3326.74,2024-02-24,Asia Pacific,Bob Smith,0,cancelled
ORD-000051,CUST-0314,Processor Intel,Accessories,9,1857.95,16721.55,0.125,14631.36,2024-08-29,Latin America,Henry Taylor,0,delivered
ORD-000052,CUST-0129,Speaker Bluetooth,Computers,4,330.53,1322.12,0.001,1320.8,2024-01-14,Latin America,Henry Taylor,1,pending
ORD-000053,CUST-0166,Smart Watch,Gaming,1,1774.32,1774.32,0.17,1472.69,2024-01-05,Europe,Ivy Wang,1,shipped
ORD-000054,CUST-0369,Smart Watch,Electronics,8,1397.9,11183.2,0.06,10512.21,2024-03-12,Asia Pacific,Grace Chen,0,processing
ORD-000055,CUST-0322,SSD 500GB,Accessories,9,172.58,1553.22,0.108,1385.47,2024-02-10,Europe,Grace Chen,0,delivered
ORD-000056,CUST-0372,Wireless Headphones,Audio,5,258.49,1292.45,0.033,1249.8,2024-12-23,Latin America,Grace Chen,0,shipped
ORD-000057,CUST-0377,Speaker Bluetooth,Electronics,2,1971.86,3943.72,0.127,3442.87,2024-02-13,North America,Eve Brown,0,processing
ORD-000058,CUST-0287,"Laptop Pro 15""",Computers,1,1837.13,1837.13,0.171,1522.98,2024-03-04,Latin America,Alice Johnson,0,pending
ORD-000059,CUST-0005,Wireless Headphones,Electronics,8,1991.55,15932.4,0.16,13383.22,2024-04-15,Middle East,Jack Anderson,1,shipped
ORD-000060,CUST-0276,Processor Intel,Gaming,4,309.43,1237.72,0.111,1100.33,2024-06-09,Middle East,Bob Smith,1,shipped
ORD-000061,CUST-0329,Wireless Headphones,Audio,3,1478.98,4436.94,0.046,4232.84,2024-10-25,Middle East,Grace Chen,0,shipped
ORD-000062,CUST-0454,Hard Drive 1TB,Audio,5,1905.77,9528.85,0.193,7689.78,2024-04-30,Asia Pacific,Carol Davis,1,cancelled
ORD-000063,CUST-0260,Smart Watch,Computers,2,272.11,544.22,0.196,437.55,2024-03-18,North America,David Wilson,0,processing
ORD-000064,CUST-0095,SSD 500GB,Accessories,4,575.1,2300.4,0.126,2010.55,2024-11-14,North America,David Wilson,1,delivered
ORD-000065,CUST-0499,"Laptop Pro 15""",Accessories,9,1372.93,12356.37,0.115,10935.39,2024-11-18,Europe,David Wilson,1,pending
ORD-000066,CUST-0189,Hard Drive 1TB,Computers,2,992.19,1984.38,0.087,1811.74,2024-07-17,North America,Henry Taylor,0,delivered
ORD-000067,CUST-0134,"Laptop Pro 15""",Computers,1,1025.72,1025.72,0.104,919.05,2024-10-18,North America,David Wilson,0,pending
ORD-000068,CUST-0348,Gaming Mouse,Accessories,6,1582.84,9497.04,0.11,8452.37,2024-09-19,Latin America,Grace Chen,0,shipped
ORD-000069,CUST-0346,Monitor 4K,Electronics,4,1312.93,5251.72,0.14,4516.48,2024-04-04,North America,Eve Brown,1,delivered
ORD-000070,CUST-0413,Hard Drive 1TB,Accessories,9,1819.78,16378.02,0.148,13954.07,2024-02-21,Middle East,Bob Smith,1,cancelled
ORD-000071,CUST-0405,Graphics Card,Accessories,2,892.98,1785.96,0.034,1725.24,2024-07-23,Europe,David Wilson,1,shipped
ORD-000072,CUST-0402,Smart Watch,Accessories,9,408.55,3676.95,0.171,3048.19,2024-08-16,North America,David Wilson,1,shipped
ORD-000073,CUST-0418,Router WiFi,Accessories,1,1876.17,1876.17,0.11,1669.79,2024-05-03,North America,Grace Chen,0,pending
ORD-000074,CUST-0285,Processor Intel,Electronics,7,1732.85,12129.95,0.162,10164.9,2024-11-04,Latin America,Jack Anderson,1,processing
ORD-000075,CUST-0481,Wireless Headphones,Gaming,6,737.88,4427.28,0.039,4254.62,2024-07-17,Asia Pacific,Ivy Wang,0,pending
ORD-000076,CUST-0495,Smart Watch,Electronics,5,573.5,2867.5,0.136,2477.52,2024-11-24,Asia Pacific,David Wilson,1,processing
ORD-000077,CUST-0252,Speaker Bluetooth,Audio,2,1391.24,2782.48,0.025,2712.92,2024-06-05,Asia Pacific,Eve Brown,0,processing
ORD-000078,CUST-0126,Smart Watch,Computers,8,948.02,7584.16,0.011,7500.73,2024-11-02,Asia Pacific,Jack Anderson,1,shipped
ORD-000079,CUST-0371,Smart Watch,Computers,7,381.22,2668.54,0.052,2529.78,2024-04-06,Middle East,Grace Chen,0,processing
ORD-000080,CUST-0067,Processor Intel,Audio,2,1138.03,2276.06,0.087,2078.04,2024-12-09,North America,Bob Smith,0,delivered
ORD-000081,CUST-0180,Wireless Headphones,Audio,6,1383.44,8300.64,0.095,7512.08,2024-05-23,Europe,Frank Miller,1,cancelled
ORD-000082,CUST-0080,SSD 500GB,Gaming,3,96.52,289.56,0.14,249.02,2024-02-01,Europe,David Wilson,1,shipped
ORD-000083,CUST-0015,Processor Intel,Accessories,6,1921.15,11526.9,0.178,9475.11,2024-04-15,Latin America,Jack Anderson,0,delivered
ORD-000084,CUST-0415,Tablet Ultra,Gaming,9,194.87,1753.83,0.12,1543.37,2024-03-06,North America,Carol Davis,0,pending
ORD-000085,CUST-0310,Wireless Headphones,Electronics,1,1650.26,1650.26,0.112,1465.43,2024-05-16,North America,Henry Taylor,0,pending
ORD-000086,CUST-0117,Speaker Bluetooth,Electronics,3,1505.6,4516.8,0.065,4223.21,2024-04-23,Latin America,Ivy Wang,0,delivered
ORD-000087,CUST-0490,Graphics Card,Electronics,1,693.74,693.74,0.04,665.99,2024-08-09,North America,Grace Chen,1,shipped
ORD-000088,CUST-0431,Graphics Card,Gaming,4,1531.45,6125.8,0.073,5678.62,2024-06-15,Middle East,Bob Smith,1,cancelled
ORD-000089,CUST-0060,Graphics Card,Computers,4,619.88,2479.52,0.145,2119.99,2024-01-09,Middle East,Jack Anderson,1,shipped
ORD-000090,CUST-0139,Hard Drive 1TB,Audio,6,808.11,4848.66,0.018,4761.38,2024-08-22,North America,Eve Brown,1,pending
ORD-000091,CUST-0289,Smart Watch,Gaming,8,533.46,4267.68,0.037,4109.78,2024-09-07,North America,Frank Miller,0,shipped
ORD-000092,CUST-0456,"Laptop Pro 15""",Electronics,5,1819.83,9099.15,0.16,7643.29,2024-11-27,Asia Pacific,Carol Davis,1,cancelled
ORD-000093,CUST-0285,"Laptop Pro 15""",Computers,7,48.09,336.63,0.172,278.73,2024-10-17,North America,Carol Davis,1,pending
ORD-000094,CUST-0287,Hard Drive 1TB,Accessories,1,329.02,329.02,0.177,270.78,2024-05-21,North America,Frank Miller,1,delivered
ORD-000095,CUST-0029,Gaming Mouse,Electronics,4,1666.38,6665.52,0.184,5439.06,2024-09-01,North America,Carol Davis,0,shipped
ORD-000096,CUST-0303,Monitor 4K,Electronics,5,1395.08,6975.4,0.027,6787.06,2024-11-07,Europe,Alice Johnson,0,pending
ORD-000097,CUST-0339,Webcam HD,Electronics,3,152.22,456.66,0.141,392.27,2024-04-09,Asia Pacific,Frank Miller,0,delivered
ORD-000098,CUST-0474,Keyboard Mechanical,Accessories,2,1243.22,2486.44,0.192,2009.04,2024-04-02,Asia Pacific,Ivy Wang,0,cancelled
ORD-000099,CUST-0147,Tablet Ultra,Gaming,3,1449.83,4349.49,0.005,4327.74,2024-10-04,Asia Pacific,David Wilson,1,cancelled
ORD-000100,CUST-0024,SSD 500GB,Electronics,9,1493.3,13439.7,0.132,11665.66,2024-06-21,Middle East,Carol Davis,0,delivered
ORD-000101,CUST-0418,Smartphone X,Audio,6,1926.87,11561.22,0.093,10486.03,2024-06-22,Asia Pacific,David Wilson,0,cancelled
ORD-000102,CUST-0209,Graphics Card,Computers,4,752.67,3010.68,0.091,2736.71,2024-04-13,Latin America,Grace Chen,1,cancelled
ORD-000103,CUST-0458,Speaker Bluetooth,Gaming,9,601.21,5410.89,0.141,4647.95,2024-12-29,Europe,Frank Miller,0,delivered
ORD-000104,CUST-0036,Keyboard Mechanical,Accessories,6,1333.89,8003.34,0.164,6690.79,2024-07-16,North America,Grace Chen,1,shipped
ORD-000105,CUST-0097,Tablet Ultra,Audio,6,1170.58,7023.48,0.062,6588.02,2024-08-11,Asia Pacific,Alice Johnson,0,delivered
ORD-000106,CUST-0131,Smartphone X,Computers,7,43.31,303.17,0.068,282.55,2024-01-15,Middle East,Eve Brown,0,processing
ORD-000107,CUST-0343,Keyboard Mechanical,Audio,10,86.37,863.7,0.124,756.6,2024-09-23,Latin America,Eve Brown,1,shipped
ORD-000108,CUST-0123,Webcam HD,Gaming,1,235.33,235.33,0.153,199.32,2024-06-23,Europe,Henry Taylor,1,pending
ORD-000109,CUST-0108,Processor Intel,Gaming,6,632.21,3793.26,0.098,3421.52,2024-01-27,Europe,Grace Chen,0,delivered
ORD-000110,CUST-0143,Hard Drive 1TB,Gaming,7,1592.05,11144.35,0.04,10698.58,2024-06-12,Latin America,Carol Davis,1,shipped
ORD-000111,CUST-0142,Webcam HD,Gaming,3,1932.0,5796.0,0.144,4961.38,2024-10-07,North America,Alice Johnson,1,shipped
ORD-000112,CUST-0314,SSD 500GB,Computers,10,1997.01,19970.1,0.012,19730.46,2024-04-02,Asia Pacific,Ivy Wang,0,delivered
ORD-000113,CUST-0150,Gaming Mouse,Electronics,3,973.39,2920.17,0.067,2724.52,2024-07-10,Latin America,Jack Anderson,0,processing
ORD-000114,CUST-0092,Gaming Mouse,Gaming,1,262.9,262.9,0.144,225.04,2024-07-24,Europe,Frank Miller,1,processing
ORD-000115,CUST-0499,Hard Drive 1TB,Electronics,2,1755.76,3511.52,0.028,3413.2,2024-01-17,Europe,Frank Miller,0,pending
ORD-000116,CUST-0180,Monitor 4K,Gaming,3,1285.53,3856.59,0.095,3490.21,2024-04-14,Asia Pacific,Ivy Wang,0,shipped
ORD-000117,CUST-0375,Smartphone X,Electronics,1,510.51,510.51,0.191,413.0,2024-04-15,Middle East,Jack Anderson,0,delivered
ORD-000118,CUST-0054,Smart Watch,Electronics,4,1451.56,5806.24,0.114,5144.33,2024-12-19,North America,Alice Johnson,0,processing
ORD-000119,CUST-0473,SSD 500GB,Accessories,1,116.67,116.67,0.088,106.4,2024-11-09,Middle East,Bob Smith,0,pending
ORD-000120,CUST-0371,Smart Watch,Accessories,7,452.25,3165.75,0.005,3149.92,2024-12-18,Asia Pacific,Bob Smith,0,processing
ORD-000121,CUST-0402,Keyboard Mechanical,Electronics,6,1283.71,7702.26,0.048,7332.55,2024-10-07,North America,Bob Smith,1,processing
ORD-000122,CUST-0397,Tablet Ultra,Gaming,4,888.32,3553.28,0.095,3215.72,2024-08-28,Asia Pacific,Bob Smith,0,pending
ORD-000123,CUST-0022,Tablet Ultra,Electronics,2,1716.93,3433.86,0.079,3162.59,2024-03-22,Middle East,Carol Davis,0,shipped
ORD-000124,CUST-0274,Wireless Headphones,Electronics,3,1994.17,5982.51,0.135,5174.87,2024-04-23,Asia Pacific,Grace Chen,1,shipped
ORD-000125,CUST-0228,Wireless Headphones,Audio,2,759.58,1519.16,0.09,1382.44,2024-08-07,North America,Carol Davis,0,processing
ORD-000126,CUST-0174,Hard Drive 1TB,Accessories,5,461.52,2307.6,0.137,1991.46,2024-11-21,Middle East,Jack Anderson,1,pending
ORD-000127,CUST-0007,Tablet Ultra,Electronics,4,603.75,2415.0,0.177,1987.54,2024-10-18,Asia Pacific,Frank Miller,0,shipped
ORD-000128,CUST-0466,"Laptop Pro 15""",Electronics,6,226.29,1357.74,0.077,1253.19,2024-08-12,Middle East,Carol Davis,0,delivered
ORD-000129,CUST-0052,SSD 500GB,Electronics,6,1920.73,11524.38,0.103,10337.37,2024-01-09,Asia Pacific,Frank Miller,0,shipped
ORD-000130,CUST-0382,Wireless Headphones,Gaming,7,1908.65,13360.55,0.143,11449.99,2024-01-20,Europe,Frank Miller,0,processing
ORD-000131,CUST-0025,Smart Watch,Audio,6,239.14,1434.84,0.193,1157.92,2024-09-06,North America,Eve Brown,0,shipped
ORD-000132,CUST-0307,Monitor 4K,Electronics,2,880.84,1761.68,0.027,1714.11,2024-06-03,Europe,Frank Miller,0,processing
ORD-000133,CUST-0223,SSD 500GB,Computers,5,1743.99,8719.95,0.03,8458.35,2024-02-21,Europe,Jack Anderson,1,processing
ORD-000134,CUST-0139,Smart Watch,Gaming,3,1082.36,3247.08,0.183,2652.86,2024-09-17,Middle East,Carol Davis,0,processing
ORD-000135,CUST-0486,Wireless Headphones,Electronics,4,941.54,3766.16,0.195,3031.76,2024-02-05,Europe,Carol Davis,1,cancelled
ORD-000136,CUST-0082,Router WiFi,Accessories,7,897.75,6284.25,0.088,5731.24,2024-09-07,Asia Pacific,Ivy Wang,1,shipped
ORD-000137,CUST-0193,Keyboard Mechanical,Gaming,8,960.69,7685.52,0.061,7216.7,2024-10-09,Middle East,Alice Johnson,1,cancelled
ORD-000138,CUST-0216,Gaming Mouse,Accessories,6,1501.11,9006.66,0.044,8610.37,2024-04-06,Europe,Bob Smith,0,pending
ORD-000139,CUST-0478,Graphics Card,Audio,9,1887.72,16989.48,0.185,13846.43,2024-09-29,Asia Pacific,Alice Johnson,1,processing
ORD-000140,CUST-0496,SSD 500GB,Computers,10,814.26,8142.6,0.136,7035.21,2024-08-09,Middle East,Carol Davis,1,cancelled
ORD-000141,CUST-0033,Smart Watch,Computers,3,768.22,2304.66,0.195,1855.25,2024-01-13,Europe,Jack Anderson,1,pending
ORD-000142,CUST-0362,Tablet Ultra,Accessories,7,768.06,5376.42,0.191,4349.52,2024-07-28,Middle East,Eve Brown,0,shipped
ORD-000143,CUST-0224,Tablet Ultra,Audio,7,1146.22,8023.54,0.108,7157.0,2024-01-01,Asia Pacific,Carol Davis,1,pending
ORD-000144,CUST-0040,Speaker Bluetooth,Electronics,10,1171.39,11713.9,0.123,10273.09,2024-08-23,Europe,Bob Smith,1,processing
ORD-000145,CUST-0447,Monitor 4K,Gaming,8,344.06,2752.48,0.016,2708.44,2024-07-24,North America,Frank Miller,0,processing
ORD-000146,CUST-0375,Webcam HD,Audio,8,92.98,743.84,0.129,647.88,2024-03-02,Asia Pacific,Ivy Wang,1,cancelled
ORD-000147,CUST-0494,SSD 500GB,Computers,9,882.96,7946.64,0.181,6508.3,2024-09-09,Middle East,Carol Davis,1,processing
ORD-000148,CUST-0064,Wireless Headphones,Electronics,7,1284.67,8992.69,0.046,8579.03,2024-01-31,North America,Carol Davis,1,pending
ORD-000149,CUST-0413,Speaker Bluetooth,Audio,9,1003.81,9034.29,0.064,8456.1,2024-04-14,North America,Grace Chen,1,delivered
ORD-000150,CUST-0390,"Laptop Pro 15""",Computers,2,626.63,1253.26,0.15,1065.27,2024-01-23,Europe,Frank Miller,0,pending
ORD-000151,CUST-0463,Monitor 4K,Gaming,1,1658.57,1658.57,0.137,1431.35,2024-12-20,Europe,Ivy Wang,1,cancelled
ORD-000152,CUST-0162,Smartphone X,Audio,3,828.76,2486.28,0.133,2155.6,2024-11-20,Middle East,Alice Johnson,1,pending
ORD-000153,CUST-0380,"Laptop Pro 15""",Electronics,9,258.75,2328.75,0.18,1909.58,2024-11-01,Middle East,Alice Johnson,1,shipped
ORD-000154,CUST-0496,Gaming Mouse,Accessories,5,1687.4,8437.0,0.029,8192.33,2024-10-17,Europe,Henry Taylor,0,pending
ORD-000155,CUST-0100,Tablet Ultra,Audio,9,165.78,1492.02,0.107,1332.37,2024-08-25,Middle East,Eve Brown,1,cancelled
ORD-000156,CUST-0216,"Laptop Pro 15""",Computers,1,1898.44,1898.44,0.033,1835.79,2024-10-02,North America,Frank Miller,0,pending
ORD-000157,CUST-0151,Gaming Mouse,Computers,1,621.01,621.01,0.158,522.89,2024-12-19,Middle East,David Wilson,1,delivered
ORD-000158,CUST-0040,Webcam HD,Electronics,3,1129.11,3387.33,0.174,2797.93,2024-06-24,Middle East,Henry Taylor,0,pending
ORD-000159,CUST-0198,Gaming Mouse,Electronics,3,221.53,664.59,0.128,579.52,2024-06-06,Asia Pacific,Carol Davis,1,processing
ORD-000160,CUST-0372,Processor Intel,Accessories,3,1145.59,3436.77,0.099,3096.53,2024-10-22,Middle East,Henry Taylor,0,delivered
ORD-000161,CUST-0167,Monitor 4K,Electronics,10,110.38,1103.8,0.11,982.38,2024-10-06,Asia Pacific,Grace Chen,0,delivered
ORD-000162,CUST-0067,Speaker Bluetooth,Gaming,9,683.89,6155.01,0.017,6050.37,2024-07-21,Asia Pacific,Alice Johnson,0,delivered
ORD-000163,CUST-0375,Router WiFi,Accessories,9,153.82,1384.38,0.085,1266.71,2024-02-15,Europe,Frank Miller,1,processing
ORD-000164,CUST-0208,SSD 500GB,Computers,7,131.19,918.33,0.154,776.91,2024-07-15,Europe,Eve Brown,0,pending
ORD-000165,CUST-0031,Graphics Card,Gaming,6,253.36,1520.16,0.039,1460.87,2024-11-15,Asia Pacific,Grace Chen,1,cancelled
ORD-000166,CUST-0120,Smartphone X,Gaming,1,1672.73,1672.73,0.186,1361.6,2024-10-07,Middle East,Jack Anderson,0,delivered
ORD-000167,CUST-0119,"Laptop Pro 15""",Audio,6,1008.36,6050.16,0.063,5669.0,2024-01-04,Asia Pacific,Jack Anderson,1,pending
ORD-000168,CUST-0149,Router WiFi,Electronics,4,1336.4,5345.6,0.12,4704.13,2024-01-10,Latin America,Eve Brown,1,processing
ORD-000169,CUST-0203,Processor Intel,Computers,10,985.82,9858.2,0.146,8418.9,2024-09-03,Asia Pacific,Eve Brown,1,pending
ORD-000170,CUST-0496,Processor Intel,Accessories,1,580.88,580.88,0.071,539.64,2024-09-05,Asia Pacific,David Wilson,0,processing
ORD-000171,CUST-0306,Graphics Card,Accessories,2,1643.75,3287.5,0.021,3218.46,2024-12-29,North America,Eve Brown,0,shipped
ORD-000172,CUST-0191,Monitor 4K,Electronics,7,994.91,6964.37,0.037,6706.69,2024-12-28,Middle East,Ivy Wang,0,pending
ORD-000173,CUST-0117,Monitor 4K,Gaming,3,761.21,2283.63,0.047,2176.3,2024-04-22,Middle East,David Wilson,0,pending
ORD-000174,CUST-0096,Wireless Headphones,Audio,7,1519.6,10637.2,0.024,10381.91,2024-03-19,North America,Grace Chen,1,delivered
ORD-000175,CUST-0325,Tablet Ultra,Accessories,2,400.38,800.76,0.105,716.68,2024-06-29,North America,Eve Brown,1,processing
ORD-000176,CUST-0461,Gaming Mouse,Accessories,10,1490.63,14906.3,0.148,12700.17,2024-07-29,North America,Alice Johnson,1,delivered
ORD-000177,CUST-0360,Wireless Headphones,Accessories,4,308.75,1235.0,0.095,1117.67,2024-05-26,Latin America,Eve Brown,1,processing
ORD-000178,CUST-0485,Webcam HD,Audio,8,1375.85,11006.8,0.076,10170.28,2024-12-15,Middle East,Eve Brown,0,shipped
ORD-000179,CUST-0240,Monitor 4K,Computers,5,206.47,1032.35,0.101,928.08,2024-04-06,Middle East,Jack Anderson,1,shipped
ORD-000180,CUST-0255,Keyboard Mechanical,Electronics,2,386.02,772.04,0.182,631.53,2024-03-11,Asia Pacific,Ivy Wang,0,pending
ORD-000181,CUST-0367,Keyboard Mechanical,Gaming,6,49.02,294.12,0.06,276.47,2024-04-15,Europe,Grace Chen,1,cancelled
ORD-000182,CUST-0420,Router WiFi,Computers,9,1696.71,15270.39,0.052,14476.33,2024-03-21,Europe,Ivy Wang,1,shipped
ORD-000183,CUST-0044,SSD 500GB,Accessories,10,1900.32,19003.2,0.099,17121.88,2024-07-10,Asia Pacific,Carol Davis,1,processing
ORD-000184,CUST-0045,Processor Intel,Electronics,3,1962.76,5888.28,0.121,5175.8,2024-10-19,Asia Pacific,Frank Miller,1,shipped
ORD-000185,CUST-0281,Keyboard Mechanical,Electronics,10,538.9,5389.0,0.067,5027.94,2024-11-23,Middle East,David Wilson,1,pending
ORD-000186,CUST-0302,Router WiFi,Accessories,8,1008.66,8069.28,0.146,6891.17,2024-07-10,Asia Pacific,Grace Chen,1,shipped
ORD-000187,CUST-0274,Speaker Bluetooth,Accessories,3,1378.51,4135.53,0.041,3965.97,2024-01-21,Europe,Ivy Wang,1,delivered
ORD-000188,CUST-0479,Gaming Mouse,Gaming,2,1498.47,2996.94,0.143,2568.38,2024-04-21,Asia Pacific,Eve Brown,1,shipped
ORD-000189,CUST-0415,Speaker Bluetooth,Accessories,10,1579.71,15797.1,0.022,15449.56,2024-05-30,Europe,Frank Miller,1,cancelled
ORD-000190,CUST-0155,Smartphone X,Electronics,8,1794.32,14354.56,0.068,13378.45,2024-03-29,Europe,Bob Smith,0,processing
ORD-000191,CUST-0351,Hard Drive 1TB,Audio,7,379.13,2653.91,0.117,2343.4,2024-12-28,North America,Ivy Wang,0,cancelled
